"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"5421";0;0;0;1;0;1;0;0;0;0;57;4186;-249,51;11,8478778198827;24;79;0;47,7723;8,09896;5386;"8"
"5422";0;0;0;1;0;1;0;0;0;0;48;4669;-59,93;13,1963933882479;12;92;13;47,8709;7,73712;7355;"8"
"5423";0;0;0;1;0;0;1;0;0;0;87;1930;-93,35;13,048260443038;24;92;13;47,9389;7,76123;2507;"6"
"5424";0;0;0;1;0;1;0;0;0;0;50;4949;-127,67;14,0112981818182;12;92;13;47,8709;7,73712;7355;"8"
"5425";0;0;0;1;0;1;0;0;0;0;82;2843;49,17;12,1680159048792;12;92;37;47,8709;7,73712;7355;"8"
"5426";0;0;0;1;0;1;0;0;0;0;53;3285;43,43;14,4143518939394;24;94;13;47,8296;8,42503;1221;"8"
"5427";1;0;0;1;0;1;0;0;0;0;67;1820;69,54;9,50402575757575;12;92;13;47,8709;7,73712;7355;"8"
"5428";1;0;0;1;0;0;1;0;0;0;62;2058;79,04;13,3358748233592;24;94;13;47,9389;7,76123;2507;"6"
"5429";0;0;0;1;0;0;1;0;0;0;79;2026;45,77;13,4624711111111;24;82;13;47,9232;7,68356;17817;"6"
"5430";0;1;0;1;0;0;1;0;0;0;78;2633;50,35;12,5602125;24;87;31;47,8792;7,66162;5848;"2"
"5431";0;0;0;1;0;1;0;0;0;0;46;3193;-148,24;14,2178789621677;24;82;0;47,8296;8,42503;1221;"8"
"5432";0;0;0;1;0;0;1;0;0;0;66;1725;43,2;12,1661319769711;24;93;13;47,9232;7,68356;17817;"6"
"5433";0;0;0;1;0;0;1;0;0;0;56;1195;11,98;9,88533900501672;24;92;13;47,9232;7,68356;17817;"6"
"5434";0;0;0;1;0;0;1;0;0;0;49;1928;-91,1;12,3975007459208;12;93;13;47,9389;7,76123;2507;"6"
"5435";0;0;0;1;0;1;0;0;0;0;49;3300;29,6;13,3573019223147;12;92;13;47,814;8,32346;6774;"8"
"5436";0;0;0;1;0;1;0;0;0;0;47;3651;-31,07;11,5854721746108;12;87;13;47,8964;7,63964;2335;"8"
"5437";0;0;0;1;0;1;0;0;0;0;48;7999;64,68;8,4026366134105;24;92;22;47,7723;8,09896;5386;"0"
"5438";0;0;0;1;0;1;0;0;0;0;64;2551;-266,03;12,782517737916;12;93;13;47,814;8,32346;6774;"8"
"5439";1;0;0;1;0;1;0;0;0;0;55;1719;132,29;9,23947228216819;12;84;37;47,7723;8,09896;5386;"8"
"5440";0;0;1;1;0;1;0;0;0;0;45;1643;17,43;9,04223164141414;12;84;13;47,8709;7,73712;7355;"5"
"5441";0;0;0;1;0;1;0;0;0;0;75;2444;37,59;11,6285030539536;24;94;31;47,962;7,74013;5969;"8"
"5442";0;0;0;1;0;0;1;0;0;0;44;2262;79,13;14,1864299483319;24;75;0;47,6595;8,36288;6470;"6"
"5443";0;0;0;1;0;1;0;0;0;0;78;2732;40,94;14,1825327860697;24;83;13;47,9306;7,62142;4611;"8"
"5444";1;0;0;1;0;0;1;0;0;0;69;2767;87,83;9,77994770356235;24;87;23;47,6595;8,36288;6470;"6"
"5445";0;0;0;1;0;0;1;0;0;0;67;2158;57,11;13,2240420336391;12;92;29;47,9232;7,68356;17817;"6"
"5446";0;0;0;1;0;0;1;0;0;0;81;1392;241,97;11,4430393418888;24;89;13;47,9232;7,68356;17817;"6"
"5447";0;0;0;1;0;1;0;0;0;0;71;3676;74,23;14,3365293262411;12;88;13;47,7119;8,10084;1366;"8"
"5448";0;0;0;1;0;0;1;0;0;0;68;5862;374,21;13,7470438040397;24;87;13;47,6527;8,24516;22160;"0"
"5449";1;0;0;1;0;0;1;0;0;0;66;2172;126,13;14,0894351122625;24;87;37;47,6595;8,36288;6470;"6"
"5450";0;0;0;1;0;0;1;0;0;0;52;2482;9,76;12,0552663950369;24;88;13;47,8792;7,66162;5848;"6"
