"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"824";0;0;0;1;0;0;1;0;0;0;74;852;-44,48;8,35037572035184;24;71;0;47,9523;7,79368;2732;"7"
"825";1;0;0;1;0;1;0;0;0;0;54;1163;57,81;7,79282675245098;12;88;37;47,8143;8,16473;2411;"6"
"826";0;0;0;1;0;1;0;0;0;0;70;3499;-605,27;6,69751979984301;24;81;25;47,9306;7,62142;4611;"6"
"827";0;0;0;1;0;1;0;0;0;0;41;3026;56,67;6,13825166666666;24;88;23;47,6004;8,33152;5289;"6"
"828";0;0;0;1;0;0;1;0;0;0;50;1689;-118,93;7,81727255701486;24;82;23;47,6256;8,33273;7512;"7"
"829";0;0;0;1;0;1;0;0;0;0;44;3165;113,21;6,20162916666667;24;87;23;47,6004;8,33152;5289;"6"
"830";0;0;0;1;0;0;1;0;0;0;69;407;-3,23;6,35799890127388;12;82;13;47,9232;7,68356;17817;"7"
"831";0;0;0;1;0;0;1;0;0;0;33;575;25,1;7,0241875;12;93;13;47,9232;7,68356;17817;"7"
"832";0;0;0;1;0;1;0;0;0;0;44;1451;113,21;5,56674583333333;24;87;25;47,6004;8,33152;5289;"6"
"833";0;0;0;1;0;0;1;0;0;0;47;4348;-24,99;7,3223926953468;24;82;16;47,6527;8,24516;22160;"7"
"834";0;0;0;1;0;1;0;0;0;0;42;3965;65,26;6,95451968549129;24;92;25;47,9147;7,82312;2254;"6"
"835";0;0;0;1;0;0;1;0;0;0;73;704;-52,79;7,7718225412875;24;92;13;47,9232;7,68356;17817;"7"
"836";0;0;0;1;0;0;1;0;0;0;57;1658;2,78;7,35133649109371;24;88;13;47,6527;8,24516;22160;"7"
"837";0;0;0;1;0;1;0;0;0;0;65;5177;18,56;7,31371218112575;24;92;24;47,8143;8,16473;2411;"6"
"838";1;0;0;1;0;1;0;0;0;0;26;1369;78,88;8,32784431868436;12;87;37;47,8123;7,65944;18072;"6"
"839";0;0;0;1;0;0;1;0;0;0;86;1212;-1,85;7,06660666666667;24;88;18;47,9232;7,68356;17817;"7"
"840";1;0;0;1;0;0;1;0;0;0;93;562;30,1;6,95215971326165;12;88;13;47,9232;7,68356;17817;"7"
"841";0;0;0;1;0;1;0;0;0;0;47;4134;-207,87;6,64143396024465;24;83;23;47,9306;7,62142;4611;"6"
"842";1;0;0;1;0;1;0;0;0;0;89;2272;174,42;6,0193367634125;24;87;25;47,8123;7,65944;18072;"6"
"843";0;0;0;1;0;1;0;0;0;0;76;5841;0,95;4,66738579686004;24;89;22;47,7206;8,17864;2454;"6"
"844";0;0;0;1;1;0;1;0;0;0;67;35;-23,74;4,89248509450172;24;93;13;47,9232;7,68356;17817;"2"
"845";0;0;0;1;0;1;0;0;0;0;86;5053;127,48;7,0579421563574;24;82;23;47,962;7,74013;5969;"6"
"846";0;0;0;1;0;1;0;0;0;0;45;1616;-140,26;8,32154148610029;24;91;13;47,797;8,03924;1893;"6"
"847";0;0;0;1;0;1;0;0;0;0;62;1202;25,75;8,29603682900434;24;88;13;47,8123;7,65944;18072;"6"
"848";0;0;0;1;0;0;1;0;0;0;69;747;-4,52;7,70805436591947;12;81;37;47,9232;7,68356;17817;"7"
"849";0;0;0;1;0;1;0;0;0;0;66;4931;56,92;7,4889125;24;87;25;47,6004;8,33152;5289;"6"
"850";0;0;0;1;0;1;0;0;0;0;77;4061;20,9;6,6082443832021;24;87;23;47,7958;7,68755;3785;"6"
"851";1;0;0;1;0;0;1;0;0;0;57;3687;238,85;3,28200451742831;24;88;37;47,8332;7,57299;11629;"7"
"852";0;0;0;1;0;1;0;0;0;0;76;6646;-107,25;3,3019642308585;24;86;23;47,7958;7,68755;3785;"6"
"853";1;0;0;1;0;1;0;0;0;0;80;1131;58,21;7,71025339270009;12;87;13;47,8316;7,72414;2641;"6"
"854";0;0;0;1;0;1;0;0;0;0;83;3879;52,47;6,52488655709419;24;87;23;47,8123;7,65944;18072;"6"
"855";0;0;0;1;0;0;1;0;0;0;80;1632;-13,08;7,71426089462848;24;88;23;47,8332;7,57299;11629;"7"
"856";0;0;0;1;0;0;1;0;0;0;79;831;-39,45;6,92843083333334;12;88;13;47,8792;7,66162;5848;"7"
"857";0;0;0;1;0;1;0;0;0;0;41;6681;-308,97;8,05402191587068;24;87;24;47,7236;8,29654;5208;"6"
"858";0;0;0;1;0;1;0;0;0;0;90;5113;-55,22;7,08658112328465;24;93;23;47,9106;7,76606;7174;"6"
"859";0;0;0;1;0;1;0;0;0;0;30;1198;-2,35;7,88400107543323;12;87;37;47,8123;7,65944;18072;"6"
"860";0;0;0;1;0;1;0;0;0;0;50;3844;60,74;6,51292254404513;24;94;22;47,8296;8,42503;1221;"6"
"861";1;0;0;1;0;0;1;0;0;0;70;213;163,65;5,65813348690836;24;81;13;47,9523;7,79368;2732;"7"
"862";0;0;0;1;0;1;0;0;0;0;30;362;23,89;6,06727966307278;12;87;27;47,8123;7,65944;18072;"6"
"863";0;0;0;1;0;1;0;0;0;0;45;923;-2,54;8,27980315972222;24;92;29;47,8143;8,16473;2411;"6"
"864";1;0;0;1;0;0;1;0;0;0;71;745;67,14;7,69977384192932;12;92;37;47,9232;7,68356;17817;"7"
